Source,Target,weight
http://www.wikidata.org/entity/Q25089,http://www.wikidata.org/entity/Q495549,1
http://www.wikidata.org/entity/Q2001,http://www.wikidata.org/entity/Q640929,1
http://www.wikidata.org/entity/Q2001,http://www.wikidata.org/entity/Q47087,1
http://www.wikidata.org/entity/Q56005,http://www.wikidata.org/entity/Q102124,1
http://www.wikidata.org/entity/Q56005,http://www.wikidata.org/entity/Q200405,1
http://www.wikidata.org/entity/Q56005,http://www.wikidata.org/entity/Q320093,1
http://www.wikidata.org/entity/Q3772,http://www.wikidata.org/entity/Q109232,1
http://www.wikidata.org/entity/Q3772,http://www.wikidata.org/entity/Q125017,1
http://www.wikidata.org/entity/Q3772,http://www.wikidata.org/entity/Q172678,4
http://www.wikidata.org/entity/Q3772,http://www.wikidata.org/entity/Q185051,1
http://www.wikidata.org/entity/Q3772,http://www.wikidata.org/entity/Q254431,1
http://www.wikidata.org/entity/Q3772,http://www.wikidata.org/entity/Q270774,1
http://www.wikidata.org/entity/Q3772,http://www.wikidata.org/entity/Q2680,1
http://www.wikidata.org/entity/Q43203,http://www.wikidata.org/entity/Q3751774,1
http://www.wikidata.org/entity/Q43203,http://www.wikidata.org/entity/Q73930,1
http://www.wikidata.org/entity/Q43203,http://www.wikidata.org/entity/Q35011,1
http://www.wikidata.org/entity/Q51490,http://www.wikidata.org/entity/Q229338,2
http://www.wikidata.org/entity/Q42574,http://www.wikidata.org/entity/Q102124,1
http://www.wikidata.org/entity/Q42574,http://www.wikidata.org/entity/Q241510,2
http://www.wikidata.org/entity/Q60100,http://www.wikidata.org/entity/Q1320792,1
http://www.wikidata.org/entity/Q60100,http://www.wikidata.org/entity/Q2079473,1
http://www.wikidata.org/entity/Q60100,http://www.wikidata.org/entity/Q313755,1
http://www.wikidata.org/entity/Q60100,http://www.wikidata.org/entity/Q40096,1
http://www.wikidata.org/entity/Q137489,http://www.wikidata.org/entity/Q181917,1
http://www.wikidata.org/entity/Q137489,http://www.wikidata.org/entity/Q202725,1
http://www.wikidata.org/entity/Q137489,http://www.wikidata.org/entity/Q234293,1
http://www.wikidata.org/entity/Q55424,http://www.wikidata.org/entity/Q193160,1
http://www.wikidata.org/entity/Q55424,http://www.wikidata.org/entity/Q83338,1
http://www.wikidata.org/entity/Q61954995,http://www.wikidata.org/entity/Q73136,1
http://www.wikidata.org/entity/Q61954995,http://www.wikidata.org/entity/Q162389,1
