ID,label,type,year
http://www.wikidata.org/entity/Q25089,Woody Allen,DIRECTOR,1935
http://www.wikidata.org/entity/Q2001,Stanley Kubrick,DIRECTOR,1928
http://www.wikidata.org/entity/Q56005,Ridley Scott,DIRECTOR,1937
http://www.wikidata.org/entity/Q3772,Quentin Tarantino,DIRECTOR,1963
http://www.wikidata.org/entity/Q43203,Clint Eastwood,DIRECTOR,1930
http://www.wikidata.org/entity/Q788070,Yōjirō Takita,DIRECTOR,1955
http://www.wikidata.org/entity/Q51490,George Stevens,DIRECTOR,1904
http://www.wikidata.org/entity/Q42574,James Cameron,DIRECTOR,1954
http://www.wikidata.org/entity/Q60100,Roland Emmerich,DIRECTOR,1955
http://www.wikidata.org/entity/Q137489,John Guillermin,DIRECTOR,1925
http://www.wikidata.org/entity/Q55424,Peter Weir,DIRECTOR,1944
http://www.wikidata.org/entity/Q61954995,Paul Helmick,DIRECTOR,1919
http://www.wikidata.org/entity/Q73136,Stanley Kramer,DIRECTOR,1913
http://www.wikidata.org/entity/Q103646,Ron Howard,DIRECTOR,1954
http://www.wikidata.org/entity/Q363653,Guy Hamilton,DIRECTOR,1922
http://www.wikidata.org/entity/Q1559143,Ralph Nelson,DIRECTOR,1916
http://www.wikidata.org/entity/Q356275,Paul Greengrass,DIRECTOR,1955
http://www.wikidata.org/entity/Q193628,Sofia Coppola,DIRECTOR,1971
http://www.wikidata.org/entity/Q314882,Terence Young,DIRECTOR,1915
http://www.wikidata.org/entity/Q369190,Frank Borzage,DIRECTOR,1894
http://www.wikidata.org/entity/Q376107,Jan de Bont,DIRECTOR,1943
http://www.wikidata.org/entity/Q189526,Brian De Palma,DIRECTOR,1940
http://www.wikidata.org/entity/Q298388,Noël Coward,DIRECTOR,1899
http://www.wikidata.org/entity/Q55260,David Lean,DIRECTOR,1908
http://www.wikidata.org/entity/Q349518,George W. Hill,DIRECTOR,1895
http://www.wikidata.org/entity/Q1303837,Ron Underwood,DIRECTOR,1953
http://www.wikidata.org/entity/Q72267,Cecil B. DeMille,DIRECTOR,1881
http://www.wikidata.org/entity/Q51562,Ernst Lubitsch,DIRECTOR,1892
http://www.wikidata.org/entity/Q1018614,Byron Haskin,DIRECTOR,1899
