Source,Target,age,category
http://www.wikidata.org/entity/Q25089,http://www.wikidata.org/entity/Q1004531,59,is_directing
http://www.wikidata.org/entity/Q2001,http://www.wikidata.org/entity/Q103474,40,is_directing
http://www.wikidata.org/entity/Q56005,http://www.wikidata.org/entity/Q103569,42,is_directing
http://www.wikidata.org/entity/Q3772,http://www.wikidata.org/entity/Q104123,31,is_directing
http://www.wikidata.org/entity/Q43203,http://www.wikidata.org/entity/Q104137,62,is_directing
http://www.wikidata.org/entity/Q788070,http://www.wikidata.org/entity/Q1044598,53,is_directing
http://www.wikidata.org/entity/Q51490,http://www.wikidata.org/entity/Q1045165,49,is_directing
http://www.wikidata.org/entity/Q42574,http://www.wikidata.org/entity/Q104814,32,is_directing
http://www.wikidata.org/entity/Q60100,http://www.wikidata.org/entity/Q105387,41,is_directing
http://www.wikidata.org/entity/Q137489,http://www.wikidata.org/entity/Q1059914,53,is_directing
http://www.wikidata.org/entity/Q55424,http://www.wikidata.org/entity/Q106316,45,is_directing
http://www.wikidata.org/entity/Q61954995,http://www.wikidata.org/entity/Q1063525,39,is_directing
http://www.wikidata.org/entity/Q73136,http://www.wikidata.org/entity/Q1063525,45,is_directing
http://www.wikidata.org/entity/Q103646,http://www.wikidata.org/entity/Q106428,41,is_directing
http://www.wikidata.org/entity/Q363653,http://www.wikidata.org/entity/Q106440,42,is_directing
http://www.wikidata.org/entity/Q1559143,http://www.wikidata.org/entity/Q1067502,52,is_directing
http://www.wikidata.org/entity/Q356275,http://www.wikidata.org/entity/Q107226,52,is_directing
http://www.wikidata.org/entity/Q193628,http://www.wikidata.org/entity/Q107270,32,is_directing
http://www.wikidata.org/entity/Q314882,http://www.wikidata.org/entity/Q107724,50,is_directing
http://www.wikidata.org/entity/Q369190,http://www.wikidata.org/entity/Q1077902,34,is_directing
http://www.wikidata.org/entity/Q376107,http://www.wikidata.org/entity/Q108006,51,is_directing
http://www.wikidata.org/entity/Q2001,http://www.wikidata.org/entity/Q108297,32,is_directing
http://www.wikidata.org/entity/Q189526,http://www.wikidata.org/entity/Q108525,47,is_directing
http://www.wikidata.org/entity/Q298388,http://www.wikidata.org/entity/Q1089543,43,is_directing
http://www.wikidata.org/entity/Q55260,http://www.wikidata.org/entity/Q1089543,34,is_directing
