ID,label,type,year,duration,comedy film,mystery film,thriller film,film based on literature,adventure film,horror film,science fiction film,drama film,Western film,crime film,musical film,romance film,action film,disaster film,coming-of-age story,historical film,war film,biographical film,LGBT-related film,flashback film,fantasy film,sports film,documentary film,children's film,trial film
http://www.wikidata.org/entity/Q1004531,Bullets Over Broadway,MOVIE,1994,98,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
http://www.wikidata.org/entity/Q25089,Woody Allen,DIRECTOR,1935,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q103474,2001: A Space Odyssey,MOVIE,1968,143,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
http://www.wikidata.org/entity/Q2001,Stanley Kubrick,DIRECTOR,1928,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q103569,Alien,MOVIE,1979,117,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
http://www.wikidata.org/entity/Q56005,Ridley Scott,DIRECTOR,1937,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q104123,Pulp Fiction,MOVIE,1994,154,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
http://www.wikidata.org/entity/Q3772,Quentin Tarantino,DIRECTOR,1963,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q104137,Unforgiven,MOVIE,1992,131,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
http://www.wikidata.org/entity/Q43203,Clint Eastwood,DIRECTOR,1930,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q1044598,おくりびと,MOVIE,2008,131,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
http://www.wikidata.org/entity/Q788070,Yōjirō Takita,DIRECTOR,1955,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q1045165,Shane,MOVIE,1953,118,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
http://www.wikidata.org/entity/Q51490,George Stevens,DIRECTOR,1904,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q104814,Aliens,MOVIE,1986,137,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
