ID,label,count
http://www.wikidata.org/entity/Q157443,comedy film,99
http://www.wikidata.org/entity/Q1200678,mystery film,34
http://www.wikidata.org/entity/Q2484376,thriller film,40
http://www.wikidata.org/entity/Q52162262,film based on literature,223
http://www.wikidata.org/entity/Q319221,adventure film,50
http://www.wikidata.org/entity/Q200092,horror film,19
http://www.wikidata.org/entity/Q471839,science fiction film,43
http://www.wikidata.org/entity/Q130232,drama film,640
http://www.wikidata.org/entity/Q172980,Western film,20
http://www.wikidata.org/entity/Q959790,crime film,72
http://www.wikidata.org/entity/Q842256,musical film,103
http://www.wikidata.org/entity/Q1054574,romance film,154
http://www.wikidata.org/entity/Q188473,action film,82
http://www.wikidata.org/entity/Q846544,disaster film,15
http://www.wikidata.org/entity/Q2975633,coming-of-age story,29
http://www.wikidata.org/entity/Q17013749,historical film,16
http://www.wikidata.org/entity/Q369747,war film,102
http://www.wikidata.org/entity/Q645928,biographical film,138
http://www.wikidata.org/entity/Q20442589,LGBT-related film,47
http://www.wikidata.org/entity/Q21401869,flashback film,25
http://www.wikidata.org/entity/Q157394,fantasy film,50
http://www.wikidata.org/entity/Q1339864,sports film,11
http://www.wikidata.org/entity/Q93204,documentary film,60
http://www.wikidata.org/entity/Q2143665,children's film,11
http://www.wikidata.org/entity/Q3072039,trial film,12
 
